"feature","coefficient","p_value"
"2324",0.285714285714286,0.500793650793651
"2326",0.452380952380952,0.267460317460317
"2328",-0.261904761904762,0.53640873015873
"2329",-0.285714285714286,0.500793650793651
"2330",-0.285714285714286,0.500793650793651
"2331",0.166666666666667,0.703323412698413
"2333",0.5,0.216170634920635
"2335",0.380952380952381,0.359871031746032
"2336",-0.261904761904762,0.53640873015873
"2338",-0.333333333333333,0.427876984126984
"2339",0.357142857142857,0.389384920634921
"2343",-0.238095238095238,0.582142857142857
"2344",0.238095238095238,0.582142857142857
"2345",0.476190476190476,0.243055555555556
"2356",0.690476190476191,0.0693948412698413
"2357",0.742528282386221,0.034855039336664
"2366",0.857142857142857,0.0107142857142857
"2367",0.666666666666667,0.0830853174603175
"2368",0.19047619047619,0.664583333333333
"2370",0.666666666666667,0.0830853174603175
"2373",0.690476190476191,0.0693948412698413
"2376",0.904761904761905,0.00456349206349206
"2384",0.738095238095238,0.0458333333333333
"2389",0.357142857142857,0.389384920634921
"2406",-0.0476190476190476,0.934871031746032
"2408",0.19047619047619,0.664583333333333
"2409",0.476190476190476,0.243055555555556
"2411",0.261904761904762,0.53640873015873
"2412",0.738095238095238,0.0458333333333333
"2415",0.690476190476191,0.0693948412698413
"2417",0.619047619047619,0.114980158730159
"2422",0.738095238095238,0.0458333333333333
"2423",0.595238095238095,0.132291666666667
"2428",0.404761904761905,0.326835317460317
"2430",0.452380952380952,0.267460317460317
"2434",0.619047619047619,0.114980158730159
"2435",0.428571428571429,0.299206349206349
"2439",-0.0952380952380952,0.840128968253968
"2440",0.547619047619048,0.170982142857143
"2448",0.0714285714285714,0.881994047619048
"2451",-0.166666666666667,0.703323412698413
"2453",0.476190476190476,0.243055555555556
"2454",-0.19047619047619,0.664583333333333
"2460",-0.166666666666667,0.703323412698413
"2463",0.0714285714285714,0.881994047619048
"2467",0.0714285714285714,0.881994047619048
"2468",0.0714285714285714,0.881994047619048
"2469",0.0714285714285714,0.881994047619048
"2474",0.0476190476190476,0.934871031746032
"2475",0.0714285714285714,0.881994047619048
"2476",-0.0714285714285714,0.881994047619048
"2478",-0.142857142857143,0.75203373015873
"2479",0.0714285714285714,0.881994047619048
"2490",-0.285714285714286,0.500793650793651
"2495",0.214285714285714,0.619097222222222
"2498",NA,NA
"2499",0.142857142857143,0.75203373015873
"2507",-0.0824786098842323,0.846052523866644
"2512",0.261904761904762,0.53640873015873
"2518",0.0476190476190476,0.934871031746032
"2526",-0.0952380952380952,0.840128968253968
"2531",0.0714285714285714,0.881994047619048
"2537",0.0714285714285714,0.881994047619048
"2541",0.0238095238095238,0.976785714285714
"2542",0.177571201301144,0.673986656997567
"2548",-0.0476190476190476,0.934871031746032
"2549",-0.0952380952380952,0.840128968253968
"2550",-0.333333333333333,0.427876984126984
"2552",-0.285714285714286,0.500793650793651
"2553",0.0714285714285714,0.881994047619048
"2554",0.595238095238095,0.132291666666667
"2555",-0.119047619047619,0.793005952380952
"2560",0.19047619047619,0.664583333333333
"2561",0.0714285714285714,0.881994047619048
