"","Feature","Comp1_Loading","Comp2_Loading"
"x236","226.96558_0.4865",-0.00244942745747487,-0.0103158600871398
"x237","272.93333_0.7335",-0.000348534084186607,-0.000574885893232475
"x238","355.0877_0.735",-0.00237492929228142,-0.00109453333451278
"x239","335.97831_0.7463",0.00119816652487538,-0.0011963641898002
"x240","380.00459_0.6981",0.000656763895761716,-0.000954836388993067
"x241","517.14046_0.7948",1.49688427886197e-05,-5.95549961423778e-05
"x242","274.97222_0.8049",6.09708890082833e-05,0.000205671222115894
"x243","203.01686_0.7152",0.0023538311383507,-0.00182007021174059
"x244","105.01908_0.6905",0.000679045453180121,-0.00490111780776411
"x245","262.05635_0.8216",0.00116662888166441,-0.00107653349439553
"x246","136.03292_0.7978",0.00580874817208496,-0.0056978177887356
"x247","132.04118_0.8346",0.000441667634832148,0.00137040465835997
"x248","307.98324_0.817",4.2371771171498e-06,-0.000118556395896515
"x249","210.06961_0.7918",0.00128271125778946,-0.00153505749903798
"x250","287.95723_0.8371",0.000670526660856673,-0.00154291474427072
"x251","270.98561_0.7125",0.000211253544658128,0.00183726772350064
"x252","309.11867_0.8475",0.0269080932517479,-0.0317078840990909
"x253","217.95184_0.7829",0.000743151951176426,-0.000540638353170531
"x254","163.02451_0.8345",0.00107413660153611,-0.00224494556304971
"x255","237.06118_0.8515",0.000379848332191437,-0.00020523600929709
"x256","337.07717_0.8578",0.00774712738828722,-0.00935064762516793
"x257","286.10394_0.746",-0.000636108615685719,0.00858682235487614
"x258","173.05626_0.7311",0.00272602023708423,0.00122678134702549
"x259","119.03467_0.6536",0.0135146439467024,-0.0237110896364303
"x260","346.05524_0.8662",-0.000875029683760627,0.000822593435317393
"x261","115.00346_0.8891",0.0112861997331948,-0.0330358930062625
"x262","232.93894_0.8668",0.00113697557596291,-0.00969633373355072
"x263","216.96625_0.8668",-0.000642629463133792,-0.00146384193364037
"x264","319.94663_0.8668",0.00386647836536332,-0.0268626063213253
"x265","135.01814_0.8668",0.000920794940569105,-0.00446281703698756
"x266","331.94718_0.8662",0.0210477115269106,-0.0645381524990639
"x267","290.08765_0.8572",0.0173200877861893,-0.0212760890482517
"x268","289.0172_0.8668",0.00147434705859132,-0.0165399146467493
"x269","470.15075_0.707",0.00248042881036635,-0.002329154227898
"x270","284.03821_0.8748",0.000499830011432865,-0.000393140003922966
"x271","314.96785_0.8861",0.000668932136850346,-0.000103614466346853
"x272","128.03507_0.878",0.0430427885376032,0.0913342015442044
"x273","272.95743_0.8805",0.000418072330700677,0.00376148178602327
"x274","196.02228_0.8812",0.000236547565098765,0.00243806310832271
"x275","188.05601_0.8714",0.000739806503249253,0.00204541675776028
"x276","210.95741_0.8857",0.000125142132879344,0.00165927511686968
"x277","171.04076_0.8844",-7.23733680066117e-05,0.000966052295377611
"x278","268.0433_0.8889",0.000491350201643922,0.000345095846891506
