filename,Keep,Keep_All,Path,Species_binomial,Genus,sampleCode,speciesCode,Plot,Path_Demo,mzmine_sample_type,Count,run_date,Family
gorfru_MDP0486.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0486.mzXML,Gordonia fruticosa,Gordonia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0486.mzXML,gorfru,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0486.mzXML,sample,7,,Theaceae
gorfru_MDP0656.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0656.mzXML,Gordonia fruticosa,Gordonia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0656.mzXML,gorfru,PP_Tocoaq_29,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0656.mzXML,sample,7,,Theaceae
hel2tom_MDP0330.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0330.mzXML,Helicostylis tomentosa,Helicostylis,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0330.mzXML,hel2tom,PP_Lomaka_40,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0330.mzXML,sample,5,,Moraceae
hel2tom_MDP0255.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0255.mzXML,Helicostylis tomentosa,Helicostylis,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0255.mzXML,hel2tom,PP_Sumpul_34,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0255.mzXML,sample,5,,Moraceae
hel2tom_MDP0029.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0029.mzXML,Helicostylis tomentosa,Helicostylis,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0029.mzXML,hel2tom,PP_Tintay_24,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0029.mzXML,sample,5,,Moraceae
hel2tom_MDP0490.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0490.mzXML,Helicostylis tomentosa,Helicostylis,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0490.mzXML,hel2tom,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0490.mzXML,sample,5,,Moraceae
hel2tom_MDP0729.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0729.mzXML,Helicostylis tomentosa,Helicostylis,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0729.mzXML,hel2tom,PP_Lomasa_39,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/hel2tom_MDP0729.mzXML,sample,5,,Moraceae
ingalb_MDP0036.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0036.mzXML,Inga alba,Inga,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0036.mzXML,ingalb,PP_Tintay_24,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0036.mzXML,sample,5,,Fabaceae
ingalb_MDP0115.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0115.mzXML,Inga alba,Inga,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0115.mzXML,ingalb,PP_Tintay_25,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0115.mzXML,sample,5,,Fabaceae
ingalb_MDP0260.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0260.mzXML,Inga alba,Inga,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0260.mzXML,ingalb,PP_Sumpul_34,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0260.mzXML,sample,5,,Fabaceae
ingalb_MDP0735.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0735.mzXML,Inga alba,Inga,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0735.mzXML,ingalb,PP_Lomasa_39,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0735.mzXML,sample,5,,Fabaceae
ingalb_MDP0336.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0336.mzXML,Inga alba,Inga,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0336.mzXML,ingalb,PP_Lomaka_40,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ingalb_MDP0336.mzXML,sample,5,,Fabaceae
ladobl_MDP0264.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0264.mzXML,Ladenbergia oblongifolia,Ladenbergia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0264.mzXML,ladobl,PP_Sumpul_34,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0264.mzXML,sample,5,,Rubiaceae
ladobl_MDP0042.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0042.mzXML,Ladenbergia oblongifolia,Ladenbergia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0042.mzXML,ladobl,PP_Tintay_24,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0042.mzXML,sample,5,,Rubiaceae
ladobl_MDP0343.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0343.mzXML,Ladenbergia oblongifolia,Ladenbergia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0343.mzXML,ladobl,PP_Lomaka_40,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0343.mzXML,sample,5,,Rubiaceae
ladobl_MDP0561.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0561.mzXML,Ladenbergia oblongifolia,Ladenbergia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0561.mzXML,ladobl,PP_Fuerte_27,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0561.mzXML,sample,5,,Rubiaceae
ladobl_MDP0737.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0737.mzXML,Ladenbergia oblongifolia,Ladenbergia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0737.mzXML,ladobl,PP_Lomasa_39,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/ladobl_MDP0737.mzXML,sample,5,,Rubiaceae
melpet_MDP0433.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0433.mzXML,Meliosma petalodentata,Meliosma,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0433.mzXML,melpet,PP_Tocoaq_30,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0433.mzXML,sample,5,,Sabiaceae
melpet_MDP0169.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0169.mzXML,Meliosma petalodentata,Meliosma,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0169.mzXML,melpet,PP_Titiri_42,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0169.mzXML,sample,5,,Sabiaceae
melpet_MDP0610.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0610.mzXML,Meliosma petalodentata,Meliosma,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0610.mzXML,melpet,PP_Tapuri_45,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0610.mzXML,sample,5,,Sabiaceae
melpet_MDP0667.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0667.mzXML,Meliosma petalodentata,Meliosma,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0667.mzXML,melpet,PP_Tocoaq_29,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0667.mzXML,sample,5,,Sabiaceae
melpet_MDP0498.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0498.mzXML,Meliosma petalodentata,Meliosma,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0498.mzXML,melpet,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/melpet_MDP0498.mzXML,sample,5,,Sabiaceae
mic1AF7149_MDP0352.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0352.mzXML,Miconia AF-7149,Miconia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/mic1AF7149_MDP0352.mzXML,mic1AF7149,PP_Lomaka_40,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/mic1AF7149_MDP0352.mzXML,sample,6,,Melastomataceae
mic1AF7149_MDP0435.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0435.mzXML,Miconia AF-7149,Miconia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/mic1AF7149_MDP0435.mzXML,mic1AF7149,PP_Tocoaq_30,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/mic1AF7149_MDP0435.mzXML,sample,6,,Melastomataceae
mic1AF7149_MDP0500.mzXML,No,No,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0500.mzXML,Miconia AF-7149,Miconia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/mic1AF7149_MDP0500.mzXML,mic1AF7149,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/mic1AF7149_MDP0500.mzXML,sample,6,,Melastomataceae
