feature,log2FC,padj,Expression
516.89611_0.4564,-0.10663754473431712,0.674063529516899,Not significant
403.91726_0.4571,-0.07953245278790629,0.7929958206681328,Not significant
404.91305_0.4589,-0.08070631862811906,0.7905798582335983,Not significant
402.91602_0.4595,-0.0622887692669873,0.8311675362226768,Not significant
289.93727_0.4626,-0.04242287724707582,0.9058924316651824,Not significant
290.93338_0.4626,-0.004237786409124378,0.991854168816472,Not significant
288.93589_0.4632,0.03324391089527568,0.9235034298842741,Not significant
418.89358_0.4637,0.07173448498323187,0.9045558829744238,Not significant
362.9404_0.4865,-0.09664921475498478,0.8380567295444838,Not significant
227.96605_0.4865,-0.18662018972874989,0.4420185459612871,Not significant
228.96314_0.4865,-0.0029949253766152193,0.9947464721350221,Not significant
294.95287_0.4841,0.45774972170301736,0.34508526933938327,Not significant
173.10392_0.4928,0.20882918986007357,0.6363270898010578,Not significant
242.939_0.4934,-0.13402672252966888,0.6076544829546175,Not significant
243.93994_0.4916,-0.0018135907352705455,0.9966796214129482,Not significant
244.93721_0.4909,0.041991220861490264,0.8990310554267918,Not significant
378.91423_0.4878,0.1234830236288209,0.7689160253240349,Not significant
310.92684_0.4909,-0.05903275831995855,0.8481826037418375,Not significant
462.87576_0.4915,0.04166290378585041,0.8858137712056355,Not significant
412.86019_0.5009,0.04441157276446424,0.8231705701362207,Not significant
328.8982_0.4978,-0.04445993273191421,0.8331221612237658,Not significant
410.86247_0.5009,-0.04661709290598823,0.8380567295444838,Not significant
478.84983_0.5016,-0.07784073471742739,0.7431320147177828,Not significant
426.83866_0.5059,-0.2745617005738355,0.3338697692256926,Not significant
468.89593_0.5078,-0.11706912443543216,0.9068241473464366,Not significant
552.85726_0.5071,0.04831125401737445,0.9596835786632126,Not significant
275.90534_0.4371,-0.015431913818443329,0.9562610491867563,Not significant
342.87769_0.5059,0.14253484452107784,0.7399034504726081,Not significant
484.86988_0.5133,-0.0587093179318238,0.92495038496189,Not significant
400.9086_0.5133,0.015275550951855527,0.9863838678553649,Not significant
636.81859_0.5121,0.02592013365999339,0.9771412816875982,Not significant
416.8826_0.5146,-0.06526329452894865,0.8614126930173623,Not significant
568.83106_0.5152,-0.0949731201311146,0.8635506253641602,Not significant
500.84391_0.5152,-0.09795469808056974,0.7640438589734552,Not significant
584.80504_0.5152,-0.09510317684951641,0.7317167130026474,Not significant
130.95734_0.5158,0.09695321365729312,0.4204453992938454,Not significant
264.93383_0.5158,-0.050856412266178895,0.8280140638322678,Not significant
348.89517_0.5158,-0.03824888386642624,0.8483440150545819,Not significant
332.92134_0.5158,-0.05398737501888005,0.9045558829744238,Not significant
298.87964_0.5164,0.1291976919748188,0.46601389727307946,Not significant
128.9593_0.5164,0.104860899718979,0.3656649422048962,Not significant
196.94648_0.5164,0.02738246302956417,0.7645191766199213,Not significant
212.92048_0.5164,0.1464487129203299,0.38556166612350556,Not significant
280.90775_0.5164,0.02978841607218297,0.7205272906954138,Not significant
296.88165_0.5164,0.15391762247791413,0.40673974023976084,Not significant
364.86899_0.5164,0.018012583214674464,0.8466348807791042,Not significant
366.86688_0.5164,0.0318743995175002,0.7516443714254224,Not significant
380.84305_0.5164,0.16954668368630402,0.4396089045725939,Not significant
432.85635_0.5164,-0.040352944161102154,0.8022380233885272,Not significant
448.83038_0.5164,0.044201938146827324,0.6687544739080538,Not significant
652.79262_0.5165,-0.09207742510294578,0.8454233727245408,Not significant
516.81755_0.5164,-0.050373434022794504,0.6835976805358162,Not significant
532.79157_0.5164,0.054656502381090946,0.6767385098628317,Not significant
464.80416_0.5164,0.18407850037742274,0.4420185459612871,Not significant
600.77905_0.5164,-0.006392000623333892,0.9614769063873486,Not significant
616.75289_0.5164,0.0782745896401347,0.6477286182493325,Not significant
684.74038_0.5164,-0.01175049271305382,0.9120291195951682,Not significant
440.88141_0.5012,0.24222709722152355,0.456681415472897,Not significant
403.84818_0.5352,-0.045901643113668365,0.8407242968019796,Not significant
381.86083_0.5301,0.24274235269336444,0.5321716607440475,Not significant
424.90734_0.519,0.0880033098981684,0.860970119054927,Not significant
