feature,log2FC,padj,Expression
341.10833_0.8036,-0.1407179931298653,0.8799195002726241,Not significant
342.11164_0.6972,0.06539269781499804,0.9032603755596262,Not significant
440.02512_0.781,-1.2291769273780462,0.09321115326219576,Not significant
323.97797_0.668,1.1417018746524727,1.3442379682784266e-4,Up-regulated
342.08732_1.0285,0.28743304891111454,0.05137711812103763,Not significant
247.92577_1.0318,0.05715025456279932,0.7109697284476402,Not significant
198.07683_1.0317,-0.018914746571133276,0.7088924718828387,Not significant
309.11869_0.9912,0.32656150041424764,0.2992810322131967,Not significant
341.1447_1.0344,0.14656825274581217,0.7088924718828387,Not significant
480.12872_1.0331,9.969581484631934,0.031227533570549106,Up-regulated
137.02408_0.8194,0.4403598578293061,0.0814832295084549,Not significant
299.07675_1.0392,0.3683416535149766,0.3429495993467072,Not significant
354.0608_1.0409,-4.084775347143142,0.01640716843633957,Down-regulated
318.08262_1.0477,-0.018914746571133276,0.7088924718828387,Not significant
203.01956_1.067,0.3000669388707587,0.12804656859184338,Not significant
338.08779_1.0723,0.8045955281637112,0.05103438232022408,Not significant
210.0074_1.0723,-0.29194044412673187,0.037470299088974056,Not significant
401.04589_1.087,0.11539067253718731,0.3295440205188562,Not significant
431.9754_1.087,0.10599408657790589,0.38176861880122553,Not significant
432.9834_1.0876,0.18699355978038695,0.10615557458998891,Not significant
335.06318_1.0883,0.181403185985777,0.1755577786433216,Not significant
333.05881_1.0883,0.19548912630300655,0.0895230891304072,Not significant
322.09279_1.0942,0.25235054559930936,0.355980432623284,Not significant
273.03769_1.1002,-0.1336740208436644,0.5818762338922189,Not significant
147.06597_1.1099,-0.050476766441997487,0.664488626837187,Not significant
215.93619_1.0096,0.0609248083680104,0.8554297784997427,Not significant
303.9519_0.8433,0.4299174505082822,0.0028691348555400305,Not significant
252.99611_1.1335,0.7788825896297652,0.032515453523281605,Not significant
343.95969_1.1278,-0.23288283516078584,0.3184053813070365,Not significant
259.02177_1.1283,0.2651965359197223,0.473669691564706,Not significant
317.05422_1.1284,0.34051829794559835,0.01673703618899401,Not significant
245.04265_1.1303,0.18955232230985372,0.2787716294232011,Not significant
417.94709_1.1316,1.1356721251876205,0.04438734529459661,Up-regulated
214.9285_1.1309,0.7228890937855462,0.004667421580538867,Not significant
445.94189_1.1309,1.1053955939488755,0.042139443112521595,Up-regulated
301.93638_1.1309,0.6723620389045267,0.008600444801604755,Not significant
313.93676_1.1315,0.8464630394690608,0.01073183351909331,Not significant
218.10291_1.1315,0.037446385989368065,0.7194216982868998,Not significant
368.99434_1.1328,1.333613849920332,0.014946325705846789,Up-regulated
228.98359_1.1298,0.3171984587992922,0.029761316681288015,Not significant
199.9809_1.131,0.2680943077408645,0.04907661449399762,Not significant
375.93652_1.1321,0.7607787180972942,0.025827995974023892,Not significant
347.94158_1.1322,0.7330367106221267,0.03313730614262342,Not significant
170.93862_1.1328,0.759854063176503,0.006939543898634062,Not significant
314.96668_1.1328,0.40875775020862026,0.1825080989605513,Not significant
212.98021_1.1328,0.6302989950969125,0.012037620227411496,Not significant
231.01416_1.1328,1.0132582900130027,0.03891874188023166,Up-regulated
117.00761_1.1334,0.7635036338265319,0.03660014585054373,Not significant
384.972_1.1328,0.8608489195912462,0.0927443739495952,Not significant
275.15098_1.1379,3.6729216656657986,0.13499991648264145,Not significant
376.85307_1.1298,-0.14879633669092246,0.6031125518565053,Not significant
234.9621_1.1341,0.4438677418174276,0.016188950448394978,Not significant
515.94715_1.1329,1.5249332341362425,0.03497447982192662,Up-regulated
330.93904_1.1334,0.5851611553667136,0.06303363352470603,Not significant
215.92794_1.1334,0.9088097262008433,0.0035210738129379734,Not significant
115.00346_1.1347,0.6917200692862366,0.03313730614262342,Not significant
400.9442_1.1322,0.9777553366242275,0.07143085138368095,Not significant
244.96122_1.1288,-0.20561751075877274,0.3473190458297705,Not significant
331.85584_1.1348,0.10643024288609672,0.40194815280225643,Not significant
305.93112_1.136,0.26467706163994625,0.03341286704042718,Not significant
289.03249_1.1391,-0.2913938791639258,0.31472555544534553,Not significant
182.99063_1.1368,0.14514086311872623,0.12318419170566836,Not significant
311.89709_1.1392,0.24626117589315197,0.03455679462338712,Not significant
241.01151_1.1488,0.4871225905668181,3.5555939692139313e-4,Not significant
129.0191_0.9357,0.23233199874499366,0.6278132350717709,Not significant
110.98504_1.1649,0.11706467889420501,0.5176274097590603,Not significant
173.05787_1.1602,-0.5367850331740397,0.0018391946083947917,Not significant
185.02156_1.1762,0.7197601641900474,0.0881476072423169,Not significant
275.84455_1.1713,0.4345467382473189,0.5741993643404636,Not significant
277.84159_1.1713,0.49355856200383164,0.5309000128546701,Not significant
288.07183_1.1775,0.38916988302264355,0.32465831865770356,Not significant
285.87335_1.1781,1.003775298281886,0.014568196002296483,Up-regulated
323.02798_1.1905,0.4231442294151001,0.0015045322716506107,Not significant
270.0378_1.2036,-0.4259145137048802,0.04725513932827408,Not significant
334.89946_1.1974,-0.21229446726052298,0.5683166218230167,Not significant
174.8389_1.2036,0.043158469030339534,0.9374431251798591,Not significant
172.84188_1.203,0.026687045123679056,0.9582363973141292,Not significant
172.0611_1.2036,-0.5281676083742635,8.467663051001924e-4,Not significant
260.02491_1.1504,0.126078957485394,0.7088924718828387,Not significant
281.96108_1.2042,-0.6081698692977007,5.070185727989756e-4,Not significant
154.89813_1.2006,-0.10824423054453094,0.924086354769286,Not significant
439.6832_1.2005,0.051125710012818536,0.761040311211444,Not significant
