Feature,Comp1_Loading,Comp2_Loading
118.05072_0.6087,0.019929975015971924,-0.04432724436788048
131.04586_0.6087,0.026586416867832124,0.030807153675371342
315.07002_0.6081,0.01596937970356565,0.055761570226821204
330.07031_0.6098,0.005074916422808705,0.06754865215035875
173.09267_0.5983,0.034683893332926694,-0.008581374225373315
314.09644_0.6115,-9.134164190468451e-4,0.037713876290955385
133.05021_0.8899,-0.001401623250585284,-0.025568926915881855
369.01027_0.6173,-0.0023280171368454494,0.03211631900423935
128.03504_0.6174,0.018457843022095164,0.03735943215469689
168.02737_0.6179,-0.017842663608088668,-0.046436659031977176
353.03621_0.6185,-0.014826035217305609,-0.03598417941004107
102.0558_0.6185,0.0039840581415130135,0.0014912528708770606
331.0543_0.6202,-0.01202838325034228,0.016363570503581185
146.04549_0.6197,0.008772496223287822,-0.0056506721299957674
315.0805_0.6202,-0.019194540878817758,-0.04591944366901884
214.02037_0.6215,-0.023569507973788068,-0.035802227900024866
172.02234_0.6004,-0.007295107850208114,-0.04928236983761338
227.96012_0.8831,0.021565803774915137,0.057085452476954325
318.07589_0.6384,-0.02281594625326637,-0.041551608046023154
340.94568_0.4891,0.012288534719869194,-0.039517851281607466
302.10042_0.6396,0.03415117612483964,-0.014251883358471716
461.15063_0.6407,0.021786624250823845,-0.029106034289402078
143.04582_0.6418,0.030789207022889047,-2.64763498828711e-4
488.16127_0.6424,-8.648601842165273e-4,-0.040998713459521954
132.02988_0.6434,-0.009253717543153867,-0.027201660973685215
549.16623_0.6434,0.023892294728572395,-0.02010570680221207
168.04266_0.6451,-0.008094107602505533,0.06763233091558477
228.06383_0.6451,-0.0064052410609447856,0.06717855514323018
503.16062_0.6435,0.02374231754879129,-0.02036800362027462
211.03316_0.6463,0.008582645390563958,0.021152725532035135
225.06112_0.6467,0.02063509418715583,-0.02809440065017428
499.17715_0.6468,-0.0037937485548433575,-1.4025872557084144e-5
474.14551_0.6473,-0.023833092203477183,-0.04592560039186149
323.10892_0.649,0.02165517152719115,-0.026712634644844184
485.16146_0.649,0.017861819715186612,-0.019416423430306924
278.98089_0.6496,0.020805593209804994,-0.03151692517005692
473.16144_0.6496,0.021972153194139817,-0.007078639908485524
459.04406_0.6502,0.005978375202176352,-0.044076795003589304
487.17744_0.6502,0.015047767938583645,0.00588895461884765
683.22402_0.6507,0.010303633744599621,-0.03443211606610812
341.10826_0.6513,0.010096447645784842,-0.03290565027660342
387.11384_0.6513,0.007202132623636326,-0.03774186512229543
389.11859_0.6513,0.00807816588123842,-0.03544586153094991
446.15071_0.6513,0.01493357671865695,-0.04428225126466322
377.08497_0.6518,-0.019607277937449107,-0.03434870110518308
439.08518_0.6518,0.009562869501385768,-0.045781990497381596
460.16661_0.6531,0.013230088825997886,-0.043217434290063375
471.07523_0.6535,-0.0029804049658357624,-0.03439147062990616
114.05577_0.6388,0.023747731366102125,-0.015967401862254527
143.03462_0.6547,0.01837411306529041,-0.03212025564891194
574.08268_0.6552,0.009369527381005337,-0.044987729997190445
181.07134_0.6543,-0.014256913839820062,-0.04975355936131945
455.1014_0.6559,-0.005530465143021759,-0.05089598715473102
161.04515_0.6564,0.01897996903667665,-0.031014321769953817
179.05564_0.6564,0.019198499948171074,-0.03058822048135232
215.03231_0.6564,0.01093938394479351,-0.040293428318463755
113.0242_0.6571,0.01863255876369427,-0.03154959674824396
101.02417_0.6576,0.019683605660309904,-0.029126589474305055
