Feature,Comp1_Loading,Comp2_Loading
119.03467_0.6536,0.013514643946702402,-0.02371108963643029
346.05524_0.8662,-8.750296837606274e-4,8.225934353173933e-4
115.00346_0.8891,0.011286199733194805,-0.03303589300626249
232.93894_0.8668,0.0011369755759629066,-0.009696333733550718
216.96625_0.8668,-6.426294631337918e-4,-0.0014638419336403718
319.94663_0.8668,0.003866478365363317,-0.026862606321325325
135.01814_0.8668,9.207949405691045e-4,-0.004462817036987557
331.94718_0.8662,0.02104771152691063,-0.06453815249906392
290.08765_0.8572,0.017320087786189348,-0.021276089048251734
289.0172_0.8668,0.0014743470585913197,-0.016539914646749282
470.15075_0.707,0.002480428810366348,-0.0023291542278980016
284.03821_0.8748,4.998300114328651e-4,-3.93140003922966e-4
314.96785_0.8861,6.689321368503464e-4,-1.0361446634685259e-4
128.03507_0.878,0.043042788537603224,0.09133420154420445
272.95743_0.8805,4.180723307006774e-4,0.0037614817860232726
196.02228_0.8812,2.3654756509876537e-4,0.0024380631083227118
188.05601_0.8714,7.39806503249253e-4,0.0020454167577602846
210.95741_0.8857,1.2514213287934353e-4,0.001659275116869678
171.04076_0.8844,-7.237336800661165e-5,9.660522953776111e-4
268.0433_0.8889,4.913502016439224e-4,3.450958468915062e-4
298.97287_0.8883,4.1561744933528937e-4,6.078728658446505e-4
233.94645_0.8902,8.185794044615216e-4,0.002180659847638448
273.02234_0.8921,4.274840874948775e-4,-0.002061730249365976
244.96223_0.8928,8.000780933084129e-4,0.004163593757380032
173.10393_0.65,1.857593511445181e-4,7.643412266124143e-4
200.97147_0.8853,-1.5175172423851092e-4,8.55198745173871e-5
216.94397_0.8973,8.277859183396035e-4,-0.0016356658444155678
261.94124_0.8973,-1.0162693139672754e-4,0.002449768636135634
199.94144_0.8973,7.907438601843568e-5,7.126987009130831e-5
185.05634_0.9045,-9.821775452191034e-5,8.33881494519923e-4
289.93628_0.894,-0.0033391146624257755,0.0038867813964226917
236.00438_0.7031,-7.444495922459062e-5,0.003607001919310917
164.07139_0.9178,6.696212489603815e-4,7.244554042165874e-4
230.06659_0.9204,7.821239130319629e-4,-3.3900979342298826e-4
347.09793_0.9296,3.595096649358285e-4,-2.331711899300803e-4
142.05063_0.9611,0.0014162174776084912,-0.0020984265401024606
112.98778_0.6923,-0.0011212999577870834,0.0033429191396493483
161.96177_0.9417,-2.0683911456615257e-4,7.147636439962591e-4
305.96762_0.9386,3.4071169588557204e-4,-8.59491843124292e-5
207.05065_0.9443,6.983926774745139e-4,-2.992315861361339e-4
147.02958_0.8243,0.0012068773771763137,-0.003432326325559477
182.01254_0.9477,0.002057514535035407,0.0013889810941388346
190.03534_0.9502,8.196614654521633e-4,-9.908531560240952e-4
258.03791_0.9631,-1.7953507541580238e-5,-1.5249582963410073e-4
159.97893_0.7961,-4.2380189626262484e-4,1.6171153596375364e-4
172.02488_0.7094,2.7833516455550827e-4,-2.775622844699757e-4
188.09246_0.9714,3.220542485580517e-4,-3.7669330961040523e-4
262.0927_0.7727,7.672838422547514e-4,-9.2670122830999e-4
111.00855_0.6894,-6.847562890255858e-4,0.0033720743682664413
211.0711_0.8358,2.0359652496133507e-4,3.469446331505009e-4
242.05132_0.6576,0.0021593188888059554,-0.0066691972571998985
255.09827_0.9998,8.062698101205413e-4,-9.77779391355505e-4
306.08287_0.8283,0.00236875447544,-0.002761441811504444
258.0614_1.0084,3.3551847310639714e-4,-6.157607301006161e-5
325.05947_0.9973,1.5031832667407676e-5,2.1204489185052905e-4
364.12463_1.0096,0.0011343663819502817,-0.0010882820522939015
388.11724_0.7419,0.0267354199141726,-0.016038001641614633
404.10374_0.6507,-3.734989751319066e-4,-0.06106118260117802
277.97248_0.7662,0.0016957668389128693,-0.0010112072843137345
145.06153_0.7738,-0.0025632565878361637,0.03743436825994841
341.10833_0.8036,-0.04117859122734458,0.022192481582901817
342.11164_0.6972,0.020752238759123773,-0.025317079928537104
440.02512_0.781,-2.9098040941569073e-4,0.003701739693876173
323.97797_0.668,0.0036254336850870877,-0.008875452501577952
342.08732_1.0285,-4.2491818218685104e-5,7.14297091740576e-5
247.92577_1.0318,6.460276707869963e-5,-1.401763266759141e-4
198.07683_1.0317,1.7496971817166344e-4,-2.1219573308766716e-4
309.11869_0.9912,0.013568016093785825,-0.01612321676340421
341.1447_1.0344,1.252270927117622e-4,-4.566190842591792e-5
480.12872_1.0331,3.408912721334935e-4,-6.790271236332648e-4
137.02408_0.8194,4.204460480681605e-4,-2.7704585573966377e-4
299.07675_1.0392,6.56323022117548e-4,-1.7623300090518666e-4
354.0608_1.0409,-9.050181346464493e-4,0.004425786790805505
318.08262_1.0477,0.0010210119153739572,-0.0012381991958521608
203.01956_1.067,-2.802245864319127e-5,-2.423979482227173e-5
338.08779_1.0723,7.556502187734312e-4,-7.002714669642186e-4
210.0074_1.0723,7.965589151600423e-5,1.1831469170404238e-4
401.04589_1.087,2.2093327520312456e-4,2.7813623195790792e-5
431.9754_1.087,5.477867471538546e-4,3.4791251061723407e-4
432.9834_1.0876,1.5256283044242242e-4,8.393461212990808e-5
335.06318_1.0883,0.00030406497836516795,-1.9643232523425914e-4
333.05881_1.0883,0.013291117986389095,-0.00856018769405239
