id,log2FC,padj,pval,Expression
2550,-0.36873190444213755,0.5928875865202557,0.40315670024419537,Not significant
2552,-0.00935654397853964,1,0.9105347691331742,Not significant
2553,0.1509246220822317,0.4914688688837688,0.2953387676305603,Not significant
2554,0.34092858330965925,0.43416920684177984,0.24928738054266242,Not significant
2555,-0.04658852930939528,0.9970461062330026,0.8743431923026643,Not significant
2560,0.16315450037552118,0.12417174109811746,0.04218516393327551,Not significant
2561,0.030044496048279492,0.8190760430267089,0.6402502511568959,Not significant
2563,0.34379289758133946,0.5573731805174709,0.3685409984372816,Not significant
2566,0.1543446164884973,0.13943765549477713,0.04923714769361821,Not significant
2567,0.02679357602435731,0.7948328952910876,0.6112676483855833,Not significant
2569,-0.012919496838918233,1,0.9025152961830666,Not significant
2574,0.1093975257294038,0.29744460958304814,0.1408492799305417,Not significant
2576,-0.25993329058142867,0.3640631048348047,0.19114528654978774,Not significant
2579,-0.10742058190464486,0.32231790542525746,0.15975267912874888,Not significant
2580,0.22107611689050005,0.5975910216309472,0.4084755383457609,Not significant
2583,-0.19358818374533648,0.06507354496808578,0.01623999464299523,Not significant
2586,0.10994412692592367,0.4160981129628469,0.23140767655176359,Not significant
2588,0.07126212269810077,0.37812705162817,0.20273462112024462,Not significant
2597,0.18473324881443243,0.8016633210442698,0.6207177895927418,Not significant
2602,-0.6127865100578725,0.28033104335708636,0.12981007010601556,Not significant
2603,0.8897393745851799,3.1761612514823356e-5,1.6629116499907515e-7,Not significant
2605,-0.03990335007475415,0.9210755711014349,0.7747965537013816,Not significant
2606,-0.07779553476195329,0.7621115277033854,0.5778367347526326,Not significant
2607,-0.3941237091467702,0.3342413546111905,0.1685789729190821,Not significant
2609,-0.03266284409781654,0.9539459873299003,0.8213147534893849,Not significant
2610,-0.44380527378846285,0.5370685349921243,0.33742525758667496,Not significant
2611,-0.0330389994757246,0.9597686307706711,0.8293469291433483,Not significant
2615,0.19561346229104826,0.13709035961530236,0.04816903851520805,Not significant
2617,-0.4331687677864384,0.2169698088133313,0.09012009510920219,Not significant
2619,0.3680205870099712,0.35947671219318306,0.18758034370988086,Not significant
2629,0.14004535923583114,0.41096790060655286,0.2273592050476043,Not significant
2630,0.05341046218045013,0.9460478485981665,0.8101119448147185,Not significant
2631,-0.18053209117382368,0.9055542483586239,0.7522579794392757,Not significant
2637,0.5246679972151499,0.32592233403759796,0.1630559669996127,Not significant
2638,-0.06842074928702437,0.6863514600031472,0.4915059030039989,Not significant
2639,-0.11053574184515842,0.8938566349660441,0.7321408621478709,Not significant
2640,0.47511303843064584,0.40570399329991125,0.22358473798033815,Not significant
2642,-3.987168332993955,0.06585045537117204,0.016530928742093734,Not significant
2643,-0.22826118352719235,0.8597478285917581,0.6947711098770457,Not significant
2645,0.9580470231713015,0.2756639081517238,0.12636600327141265,Not significant
2646,-0.20392716006428174,0.7621115277033854,0.5773198248639986,Not significant
2647,-0.12436875791858082,0.825895457870512,0.6495699005473718,Not significant
2648,-0.09778734841078324,0.8820128601997486,0.7193612739965372,Not significant
2652,-0.30913056938422323,0.11964346526659,0.04029875880707133,Not significant
2658,0.09165373498767086,1,0.9230920301969172,Not significant
2666,-0.24318316936609635,0.061157101298726244,0.014728935391316268,Not significant
2668,0.11797578179242726,0.5083925921118445,0.31034135463662127,Not significant
2669,0.11059324342123002,0.517838786304508,0.3178126349920046,Not significant
2676,-0.4193105084769226,0.2392461681483431,0.10285219212427314,Not significant
2677,0.15212941847826308,0.2469130902260395,0.10729731145948312,Not significant
2680,0.9301801927263015,0.5083925921118445,0.31022821376994153,Not significant
2682,0.09940446073157926,0.749065111254441,0.5616898943612416,Not significant
2684,1.5748809405529565,0.49474159422882086,0.297593256796161,Not significant
2685,0,1,1,Not significant
2687,-0.5589252526956251,0.3779160187249728,0.2020388721397615,Not significant
2689,0.7349742963471146,0.014221898082132181,0.0014144538741484747,Not significant
2693,8.47791001460323,0.09480504730299516,0.028775320545631006,Not significant
2694,0,1,1,Not significant
2695,6.105384749247602,0.5420168115306884,0.3506166628202075,Not significant
2696,0.40613347651628295,0.30357793464624405,0.14586328617698116,Not significant
2697,-0.9984725654096855,0.008517761547019912,7.531703054956525e-4,Not significant
2700,0.15821265539284268,0.08530635866433399,0.024366155965205343,Not significant
2701,0.367480884864605,0.07636882509392313,0.020347249501464104,Not significant
2702,0.19994076341744912,0.0863048633614319,0.024896264187533865,Not significant
2703,-0.06176059711537517,0.9698378585736068,0.8445882921958636,Not significant
2704,-0.09884831780034145,0.834096868286936,0.6594168958708237,Not significant
2705,2.005044186761927,0.003505424665204529,1.7129474803791764e-4,Up-regulated
2708,0.7447996588221554,0.007490149637727315,5.751598325654482e-4,Not significant
2709,0,1,1,Not significant
2710,0.5008049012733709,0.3592666920261183,0.18726175454066432,Not significant
2711,0.5276481527131468,0.008065148927294397,6.662310341336849e-4,Not significant
2712,0.7500724374139875,0.02158346782792408,0.0026903112658769567,Not significant
2714,-2.3609583865530057,0.017963525920742785,0.002059654590631137,Down-regulated
2716,9.685186796595348,0.09480504730299516,0.02884411852208637,Not significant
2717,0,1,1,Not significant
2718,-0.012365278293873917,1,0.9238960805108947,Not significant
2719,-0.7755532679022803,0.43005107325452313,0.2443661429013264,Not significant
2720,0.4080645059185525,0.05816594006348869,0.013738820728244335,Not significant
