ID1,ID2,EdgeType,Score,Annotation
4221,5772,DreaMS,0.194,score=0.194
2102,14778,DreaMS,0.271,score=0.271
2170,11935,DreaMS,0.091,score=0.091
1720,5610,DreaMS,0.051,score=0.051
1195,4884,DreaMS,0.237,score=0.237
3261,20005,DreaMS,0.244,score=0.244
5082,12742,DreaMS,0.157,score=0.157
4804,5537,DreaMS,0.286,score=0.286
395,3636,DreaMS,0.317,score=0.317
4808,15633,DreaMS,0.056,score=0.056
14778,15937,DreaMS,0.178,score=0.178
89,3268,DreaMS,0.315,score=0.315
1767,13838,DreaMS,0.119,score=0.119
1032,4982,DreaMS,0.337,score=0.337
2336,11229,DreaMS,0.105,score=0.105
1545,3005,DreaMS,0.333,score=0.333
352,17332,DreaMS,0.115,score=0.115
1767,4668,DreaMS,0.373,score=0.373
2553,4901,DreaMS,0.189,score=0.189
1817,4536,DreaMS,0.231,score=0.231
3892,5754,DreaMS,0.387,score=0.387
4623,12852,DreaMS,0.029,score=0.029
1627,2865,DreaMS,0.312,score=0.312
2585,3385,DreaMS,0.361,score=0.361
3053,7489,DreaMS,0.267,score=0.267
3131,5203,DreaMS,0.222,score=0.222
5781,5983,DreaMS,0.626,score=0.626
1010,4432,DreaMS,0.500,score=0.500
4510,11985,DreaMS,0.113,score=0.113
1817,4432,DreaMS,0.310,score=0.310
4721,4884,DreaMS,0.512,score=0.512
787,3587,DreaMS,0.265,score=0.265
1130,1720,DreaMS,0.166,score=0.166
1622,5937,DreaMS,0.374,score=0.374
12850,15835,DreaMS,0.258,score=0.258
3767,5348,DreaMS,0.153,score=0.153
1098,9954,DreaMS,0.189,score=0.189
135,5566,DreaMS,0.292,score=0.292
3196,17733,DreaMS,0.026,score=0.026
3636,17733,DreaMS,0.210,score=0.210
4128,5030,DreaMS,0.172,score=0.172
400,2797,DreaMS,0.301,score=0.301
3636,4587,DreaMS,0.199,score=0.199
2373,3876,DreaMS,0.289,score=0.289
1732,3876,DreaMS,0.209,score=0.209
2336,4099,DreaMS,0.296,score=0.296
3338,5948,DreaMS,0.187,score=0.187
3385,5497,DreaMS,0.338,score=0.338
1954,4721,DreaMS,0.314,score=0.314
771,1002,DreaMS,0.318,score=0.318
1794,15838,DreaMS,0.268,score=0.268
2585,4745,DreaMS,0.374,score=0.374
997,7274,DreaMS,0.276,score=0.276
1545,5803,DreaMS,0.011,score=0.011
14877,15838,DreaMS,0.333,score=0.333
2982,4916,DreaMS,0.356,score=0.356
2336,3892,DreaMS,0.252,score=0.252
730,3733,DreaMS,0.213,score=0.213
140,17086,DreaMS,0.113,score=0.113
2393,3856,DreaMS,0.292,score=0.292
1042,3974,DreaMS,0.202,score=0.202
1622,5797,DreaMS,0.054,score=0.054
3733,6088,DreaMS,0.206,score=0.206
3338,3974,DreaMS,0.403,score=0.403
1695,15937,DreaMS,0.082,score=0.082
1001,7270,DreaMS,0.162,score=0.162
2699,3293,DreaMS,0.453,score=0.453
4712,11217,DreaMS,0.215,score=0.215
3743,4221,DreaMS,0.227,score=0.227
2391,13872,DreaMS,0.213,score=0.213
1032,12141,DreaMS,0.171,score=0.171
4747,17161,DreaMS,0.013,score=0.013
1126,1484,DreaMS,0.304,score=0.304
4534,5030,DreaMS,0.252,score=0.252
1130,5366,DreaMS,0.333,score=0.333
2795,3131,DreaMS,0.300,score=0.300
4678,7274,DreaMS,0.193,score=0.193
4432,5909,DreaMS,0.569,score=0.569
2516,15951,DreaMS,0.396,score=0.396
2699,5082,DreaMS,0.348,score=0.348
3330,5552,DreaMS,0.334,score=0.334
2797,13872,DreaMS,0.138,score=0.138
400,2585,DreaMS,0.239,score=0.239
2947,3767,DreaMS,0.147,score=0.147
2786,3770,DreaMS,0.253,score=0.253
4590,5083,DreaMS,0.131,score=0.131
1895,12748,DreaMS,0.036,score=0.036
288,4432,DreaMS,0.227,score=0.227
1542,12628,DreaMS,0.224,score=0.224
6187,13872,DreaMS,0.310,score=0.310
2473,8131,DreaMS,0.166,score=0.166
5983,11619,DreaMS,0.141,score=0.141
3876,4721,DreaMS,0.070,score=0.070
3385,3653,DreaMS,0.486,score=0.486
395,4184,DreaMS,0.216,score=0.216
340,384,DreaMS,0.134,score=0.134
2393,17170,DreaMS,0.076,score=0.076
1542,10915,DreaMS,0.277,score=0.277
135,2373,DreaMS,0.217,score=0.217
2474,14645,DreaMS,0.486,score=0.486
2793,3743,DreaMS,0.364,score=0.364
1732,2200,DreaMS,0.181,score=0.181
5667,5815,DreaMS,0.103,score=0.103
5547,13026,DreaMS,0.133,score=0.133
424,3338,DreaMS,0.321,score=0.321
1793,2699,DreaMS,0.266,score=0.266
3974,4623,DreaMS,0.212,score=0.212
3629,11619,DreaMS,0.016,score=0.016
2474,3961,DreaMS,0.215,score=0.215
1895,4184,DreaMS,0.097,score=0.097
352,3268,DreaMS,0.195,score=0.195
4623,4982,DreaMS,0.332,score=0.332
5670,5937,DreaMS,0.305,score=0.305
4982,9607,DreaMS,0.035,score=0.035
12748,15937,DreaMS,0.352,score=0.352
331,12852,DreaMS,0.078,score=0.078
3634,6187,DreaMS,0.174,score=0.174
1075,4415,DreaMS,0.349,score=0.349
3338,4510,DreaMS,0.283,score=0.283
5017,13954,DreaMS,0.193,score=0.193
395,3261,DreaMS,0.280,score=0.280
395,3332,DreaMS,0.130,score=0.130
